Sequence;Type;d_molpdf;d_dope_score;d_normalized_dope;d_GA341_score;d_zscore;d_maxsub;d_lgscore;d_Z-score_mammoth;d_TM-score_mammoth;d_RMSD_TMalign;d_TM-score_TMalign;molpdf_ref;dope_score_ref;normalized_dope_ref;GA341_score_ref;zscore_ref;maxsub_ref;lgscore_ref;Z-score_mammoth_ref;TM-score_mammoth_ref;RMSD_TMalign_ref;TM-score_TMalign_ref;molpdf_tneg;dope_score_tneg;normalized_dope_tneg;GA341_score_tneg;zscore_tneg;maxsub_tneg;lgscore_tneg;Z-score_mammoth_tneg;TM-score_mammoth_tneg;RMSD_TMalign_tneg;TM-score_TMalign_tneg
Sul_ACN65403_1_ref_sul;Ref;166,2880859;-8451,384766;-2,145304651;0,921582326;-6,35;0,339;3,071;8,9076;0,5275;-2,56;0,36313;9554,895508;-29895,95703;-1,011443403;1;-7,93;0,485;4,704;11,6945;0,9231;1,7;0,92424;9388,607422;-21444,57227;1,133861248;0,078417674;-1,58;0,146;1,633;2,7869;0,3956;4,26;0,56111
Sul_ACO54027_1_ref_sul;Ref;385,8310547;-8613,982422;-1,980699391;0,954184897;-5,45;0,341;2,86;6,7768;0,4223;-3,01;0,38333;10530,59863;-32742,92773;-0,684759004;1;-6,58;0,472;4,511;12,2498;0,9783;0,76;0,98019;10144,76758;-24128,94531;1,295940387;0,045815103;-1,13;0,131;1,651;5,473;0,556;3,77;0,59686
Sul_ACS32048_1_ref_sul;Ref;152,9316406;-8944,744141;-2,238446866;0,957144041;-5,88;0,384;3,429;7,4087;0,4708;-3,29;0,41204;9837,493164;-30603,47656;-1,034069473;1;-7,73;0,507;4,797;11,5211;0,9296;0,8;0,93157;9684,561523;-21658,73242;1,204377394;0,042855959;-1,85;0,123;1,368;4,1124;0,4588;4,09;0,51953
Sul_ADM92621_1_ref_sul;Ref;6127,807129;-9184,382813;-2,298417104;0,553271621;-4,04;0,428;3,255;3,6839;0,1563;-0,28;0,14447;9350,203125;-30690,12695;-0,849703696;1;-7,85;0,579;4,742;11,524;0,9242;1,6;0,92641;3222,395996;-21505,74414;1,448713408;0,446728379;-3,81;0,151;1,487;7,8401;0,7679;1,88;0,78194
Sul_ADZ05750_1_ref_sul;Ref;461,6259766;-8751,796875;-2,221561443;0,889868088;-5,36;0,372;3,258;8,4309;0,5111;-2,35;0,38287;9888,470703;-30372,57031;-1,060542721;1;-8,09;0,504;4,796;11,2409;0,9129;1,92;0,91569;9426,844727;-21620,77344;1,161018722;0,110131912;-2,73;0,132;1,538;2,81;0,4018;4,27;0,53282
Sul_ADZ05806_1_ref_sul;Ref;687,1025391;-9523,679688;-2,417496646;0,967821024;-6,27;0,471;4,068;6,4224;0,3495;-1,73;0,31162;9500,170898;-30405,9668;-1,056826973;1;-8,09;0,519;4,896;11,6945;0,9217;1,74;0,9225;8813,068359;-20882,28711;1,360669673;0,032178976;-1,82;0,048;0,828;5,2721;0,5722;3,47;0,61088
Sul_AEI54991_1_ref_sul;Ref;660,9707031;-8371,25;-1,92488549;0,972681524;-5,18;0,354;2,929;6,5722;0,4163;-3,03;0,36218;10429,12891;-32625,04102;-0,667620029;1;-6,59;0,431;4,17;12,01;0,9764;0,83;0,97835;9768,158203;-24253,79102;1,257265461;0,027318476;-1,41;0,077;1,241;5,4378;0,5601;3,86;0,61617
Sul_AES85943_1_ref_sul;Ref;5488,533203;-8720,216797;-2,278889643;0,875858597;-4,23;0,443;3,002;4,0621;0,1853;-0,33;0,15833;9276,831055;-29917,63086;-0,966238533;1;-7,99;0,526;4,575;11,8193;0,945;1,65;0,93026;3788,297852;-21197,41406;1,31265111;0,124141403;-3,76;0,083;1,573;7,7572;0,7597;1,98;0,77193
Sul_AEY63598_1_ref_sul;Ref;101,4697266;-8803,205078;-2,242649102;0,967404332;-6,21;0,369;3,02;7,8941;0,4694;-2,54;0,39376;9577,865234;-30073,90234;-1,073054956;1;-8,11;0,484;4,528;11,6751;0,9216;1,73;0,91952;9476,395508;-21270,69727;1,169594146;0,032595668;-1,9;0,115;1,508;3,781;0,4522;4,27;0,52576
Sul_AFA38016_1_ref_sul;Ref;-74,69628906;-8867,445313;-2,250917713;0,918224052;-5,74;0,353;3,349;8,7775;0,5344;-2,54;0,39384;9646,141602;-30184,17969;-1,009098514;1;-7,78;0,491;4,769;11,6945;0,9194;1,72;0,92286;9720,837891;-21316,73438;1,241819199;0,081775948;-2,04;0,138;1,42;2,917;0,385;4,26;0,52902
Sul_BAF36555_1_ref_sul;Ref;582,8251953;-9120,332031;-2,28238822;0,951377481;-5,09;0,38;3,398;6,8174;0,4385;-3,23;0,37306;9795,966797;-30732,29883;-1,050465249;1;-7,93;0,469;4,551;11,2611;0,9261;0,87;0,92794;9213,141602;-21611,9668;1,231922971;0,048622519;-2,84;0,089;1,153;4,4437;0,4876;4,1;0,55488
Sul_CAC81945_1_ref_sul;Ref;6071,949951;-9314,544922;-2,434207824;0,78669031;-3,75;0,428;2,845;3,9792;0,1678;-0,14;0,13662;9243,53418;-29907,70703;-0,949542703;1;-8,01;0,526;4,425;11,8193;0,9442;1,65;0,93025;3171,584229;-20593,16211;1,484665121;0,21330969;-4,26;0,098;1,58;7,8401;0,7764;1,79;0,79363
Sul_CAC85829_1_ref_sul;Ref;6628,453613;-9438,044922;-2,46648258;0,653922617;-2,74;0,383;3,283;4,168;0,2106;-0,62;0,16745;9871,105469;-29732,01563;-0,939922707;1;-7,64;0,513;4,469;11,5939;0,94;1,59;0,92541;3242,651855;-20293,9707;1,526559873;0,346077383;-4,9;0,13;1,186;7,4259;0,7294;2,21;0,75796
Sul_CAD55840_1_ref_sul;Ref;6612,764893;-9536,662109;-2,483091909;0,758811697;-2,47;0,403;2,851;4,0516;0,1834;-0,35;0,15793;9866,118164;-30219,375;-0,969087182;1;-7,67;0,53;4,675;11,726;0,938;1,7;0,92509;3253,353271;-20682,71289;1,514004727;0,241188303;-5,2;0,127;1,824;7,6744;0,7546;2,05;0,76716
Sul_CAD57197_1_ref_sul;Ref;-166,2314453;-8153,728516;-2,069747407;0,584029943;-4,73;0,364;2,973;4,2246;0,2394;-0,86;0,22095;9673,87207;-30257,91211;-1,082899882;1;-8,1;0,49;4,486;11,4054;0,9212;1,71;0,92441;9840,103516;-22104,18359;0,986847526;0,415970057;-3,37;0,126;1,513;7,1808;0,6818;2,57;0,70346
Sul_CAF18336_1_ref_sul;Ref;237,0644531;-8727,056641;-2,215281367;0,968523521;-5,53;0,376;3,179;7,0189;0,4405;-3,01;0,35954;9803,625;-30527,4043;-1,115578737;1;-7,67;0,513;4,746;11,2969;0,9158;0,79;0,91765;9566,560547;-21800,34766;1,09970263;0,031476479;-2,14;0,137;1,567;4,278;0,4753;3,8;0,55811
Sul_CAG34231_1_ref_sul;Ref;166,5087891;-8951,355469;-2,272217518;0,876932941;-6,05;0,385;3,14;7,3771;0,4247;-3,35;0,35946;9630,689453;-30472,23242;-1,127051603;1;-7,79;0,489;4,709;11,2409;0,9138;0,87;0,91565;9464,180664;-21520,87695;1,145165916;0,123067059;-1,74;0,104;1,569;3,8638;0,4891;4,22;0,55619
Sul_CAH25815_1_ref_sul;Ref;6883,44873;-9209,121094;-2,406656987;0,583443671;-3,04;0,418;2,889;3,7538;0,1648;-0,18;0,13245;10009,53418;-30064,17773;-0,997730143;1;-8,04;0,511;4,528;11,5939;0,9367;1,63;0,92267;3126,085449;-20855,05664;1,408926844;0,416556329;-5;0,093;1,639;7,8401;0,7719;1,81;0,79022
Sul_CAJ13504_1_ref_sul;Ref;138,9179687;-9422,314453;-2,391766033;0,87757159;-6,04;0,415;3,554;8,0386;0,4969;-2,93;0,43024;9589,720703;-30412,56641;-1,118993048;1;-8,07;0,513;4,935;11,4054;0,9237;1,67;0,92668;9450,802734;-20990,25195;1,272772986;0,12242841;-2,03;0,098;1,381;3,3668;0,4268;4,6;0,49644
Sul_CAJ29628_1_ref_sul;Ref;289,0488281;-9589,6875;-2,434252109;0,955206212;-5,29;0,399;2,946;6,7143;0,4019;-2,92;0,33586;9751,811523;-30389,80273;-1,102246403;1;-7,89;0,505;4,549;11,2409;0,9128;0,9;0,91482;9462,762695;-20800,11523;1,332005706;0,044793788;-2,6;0,106;1,603;4,5266;0,5109;3,82;0,57896
Sul_CAJ65908_1_ref_sul;Ref;6141,753906;-9817,0625;-2,556100676;0,813861877;-4,63;0,408;3,307;4,9628;0,246;-0,98;0,2086;9342,12793;-30352,16211;-0,930476901;1;-8,13;0,531;4,546;11,726;0,9392;1,67;0,92905;3200,374023;-20535,09961;1,625623775;0,186138123;-3,5;0,123;1,239;6,7632;0,6932;2,65;0,72045
Sul_CAO82704_1_ref_sul;Ref;-397,8330078;-9260;-2,350564034;0,898379996;-6,62;0,392;3,146;7,2726;0,4214;-2,52;0,37765;9676,375;-30442,26953;-1,052757485;1;-8,08;0,478;4,371;11,6945;0,9219;1,72;0,9234;10074,20801;-21182,26953;1,297806549;0,101620004;-1,46;0,086;1,225;4,4219;0,5005;4,24;0,54575
SulIII_HQ875016_ref_sul;Ref;2446,28125;-9049,875;-2,436980956;0,743015379;-5,86;0,394;3,543;6,0569;0,3612;-2,96;0,24792;9167,319336;-30469,26758;-1,317939951;1;-8,33;0,55;4,789;11,7796;0,9415;0,74;0,9093;6721,038086;-21419,39258;1,119041005;0,256984621;-2,47;0,156;1,246;5,7227;0,5803;3,7;0,66138
Dfr16_AF077008_ref_dfrA;Ref;-807,3706055;-2819,301758;-1,271766008;0,555448443;-2,16;0,381;3,111;0,5039;0,0631;-0,57;0,11329;6411,963867;-16970,67773;-1,119185973;1;-6,24;0,682;5,025;9,6604;0,9517;0,97;0,93343;7219,334473;-14151,37598;0,152580035;0,444551557;-4,08;0,301;1,914;9,1565;0,8886;1,54;0,82014
Dfr22_AJ628423_ref_dfrA;Ref;-5247,863281;-2804,394531;-1,203706126;0,149338484;-2,81;0,212;2,074;0,7289;0,0813;-0,99;0,11605;5042,469727;-17616,33789;-1,135675164;1;-7,19;0,668;5,109;9,8839;0,9607;0,73;0,95522;10290,33301;-14811,94336;0,068030962;0,850661516;-4,38;0,456;3,035;9,155;0,8794;1,72;0,83917
Dfr32_GU067642_ref_dfrA;Ref;-5311,424805;-3116,555664;-1,40585503;0,423499763;-2,37;0,47;3,354;1,0919;0,1287;-1,2;0,17783;6141,873047;-17919,27734;-1,382960413;1;-7,04;0,741;5,876;9,4924;0,9509;0,67;0,94497;11453,29785;-14802,72168;0,022894617;0,576500237;-4,67;0,271;2,522;8,4005;0,8222;1,87;0,76714
DfrA1_JQ794607_ref_dfrA;Ref;-1881,427246;-2637,62207;-1,189811655;0,004047334;-3,05;0,241;1,965;0,6719;0,0693;-0,73;0,12024;6359,364746;-17564,47461;-1,549721282;1;-7,24;0,589;5,069;9,5764;0,9509;1,08;0,92635;8240,791992;-14926,85254;-0,359909627;0,995952666;-4,19;0,348;3,104;8,9045;0,8816;1,81;0,80611
DfrA10_L06418_ref_dfrA;Ref;2272,135254;-5323,939453;-2,016307681;0,904323176;-4,32;0,32;2,427;2,941;0,2554;-0,9;0,23424;8959,220703;-18920,14844;-0,199544582;0,99999994;-6,63;0,455;3,556;8,9885;0,855;1,88;0,86473;6687,085449;-13596,20898;1,816763099;0,095676765;-2,31;0,135;1,129;6,0475;0,5996;2,78;0,63049
DfrA12_Z21672_ref_dfrA;Ref;3472,95874;-3613,567383;-1,551020424;0,413269758;-2,73;0,208;1,774;0,7289;0,0832;-1,11;0,13251;4890,457031;-18392,58008;-1,434520072;1;-6,48;0,751;5,515;9,8839;0,9603;0,73;0,95517;1417,498291;-14779,0127;0,116500351;0,586730242;-3,75;0,543;3,741;9,155;0,8771;1,84;0,82266
DfrA13_Z50802_ref_dfrA;Ref;-6070,590332;-3864,447266;-1,658703436;0,56886667;-3,02;0,51;3,434;1,8629;0,1498;-1,33;0,16636;5159,577637;-17301,35547;-1,336121218;1;-6,69;0,757;5,459;9,8839;0,9536;0,91;0,94856;11230,16797;-13436,9082;0,322582218;0,43113333;-3,67;0,247;2,025;8,021;0,8038;2,24;0,7822
DfrA15_JN108895_ref_dfrA;Ref;-2114,062988;-2746,19043;-1,279535574;0,11016047;-2,87;0,385;3,182;1,29;0,1294;-1,33;0,16756;6369,744629;-16005,31738;-1,191890478;1;-6,81;0,612;5,037;9,6017;0,9629;0,91;0,91092;8483,807617;-13259,12695;0,087645096;0,88983953;-3,94;0,227;1,855;8,3117;0,8335;2,24;0,74336
DfrA15b_AJ867237_ref_dfrA;Ref;-3557,787109;-2794,026367;-1,260364468;0,325285435;-2,1;0,44;3,287;1,9318;0,205;-1,29;0,21336;6541,990234;-17428,61133;-1,505708218;1;-6,83;0,722;5,537;9,6604;0,9667;0,96;0,93503;10099,77734;-14634,58496;-0,24534375;0,674714565;-4,73;0,282;2,25;7,7286;0,7617;2,25;0,72167
DfrA17_AB126604_ref_dfrA;Ref;-3739,466797;-3071,458008;-1,385511813;0,031013966;-2,52;0,447;3,473;1,0919;0,141;-1,27;0,17657;6989,838867;-17542,91797;-1,290177291;1;-6,75;0,714;5,646;9,6604;0,9503;0,91;0,93206;10729,30566;-14471,45996;0,095334522;0,968986034;-4,23;0,267;2,173;8,5685;0,8093;2,18;0,75549
DfrA19_AJ310778_ref_dfrA;Ref;1501,562988;-5061,642578;-1,89668397;0,679067969;-4,09;0,456;3,646;3,7965;0,3186;-1,83;0,29483;7706,328125;-19003,51172;-1,009413623;1;-6,21;0,53;4,497;9,6889;0,9418;1,21;0,94256;6204,765137;-13941,86914;0,887270347;0,320932031;-2,12;0,074;0,851;5,8924;0,6232;3,04;0,64773
DfrA20_AJ605332_ref_dfrA;Ref;-6123,458008;-2723,399414;-1,141274039;0,082499504;-2,24;0,281;2,875;2,2541;0,2168;-1,71;0,21499;5918,861328;-18988,85352;-1,321215723;1;-5,9;0,667;5,264;9,9383;0,9718;0,75;0,97197;12042,31934;-16265,4541;-0,179941684;0,917500496;-3,66;0,386;2,389;7,6842;0,755;2,46;0,75698
DfrA21_AY552589_ref_dfrA;Ref;-6454,905273;-3490,65625;-1,498264336;0,136372507;-2,74;0,302;2,515;0,8099;0,0971;-1;0,13131;4984,612305;-17648,06836;-1,257668193;1;-7,19;0,749;5,333;9,8839;0,9582;0,77;0,95316;11439,51758;-14157,41211;0,240596143;0,863627493;-4,45;0,447;2,818;9,074;0,8611;1,77;0,82185
DfrA23_AJ746361_ref_dfrA;Ref;-1495,113281;-2632,835938;-1,002481014;0,41714859;-1,18;0,35;2,804;2,3793;0,2331;-1,58;0,20992;7180,975586;-17858,73047;-0,820447485;0,999996006;-6,44;0,567;4,557;9,9919;0,9561;1,03;0,95888;8676,088867;-15225,89453;0,182033529;0,582847416;-5,26;0,217;1,753;7,6126;0,723;2,61;0,74896
DfrA24_AJ972619_ref_dfrA;Ref;-10812,73877;-4957,348633;-1,897767641;0,747245133;-4,75;0,342;3,083;7,873;0,6226;-2,34;0,40954;6110,063965;-18161,32227;-0,78932299;0,999905825;-5,42;0,369;3,981;9,4274;0,9191;1,16;0,92245;16922,80273;-13203,97363;1,108444651;0,252660692;-0,67;0,027;0,898;1,5544;0,2965;3,5;0,51291
DfrA25_DQ267940_ref_dfrA;Ref;3111,546143;-5030,475586;-2,343855108;0,983519124;-3,71;0,626;4,557;6,7942;0,556;-2,72;0,52881;4886,863281;-15105,08984;-0,760317486;1;-6,06;0,704;5,155;9,5157;0,9615;0,7;0,91989;1775,317139;-10074,61426;1,583537622;0,016480876;-2,35;0,078;0,598;2,7215;0,4055;3,42;0,39108
DfrA26_AM403715_ref_dfrA;Ref;-8126,159668;-5533,958984;-2,141658147;0,793777213;-5,19;0,518;3,358;9,2715;0,722;-4,52;0,58801;5105,340332;-18674,78125;-1,081730354;1;-7,46;0,613;4,601;9,9397;0,974;0,81;0,97399;13231,5;-13140,82227;1,059927792;0,206222787;-2,27;0,095;1,243;0,6682;0,252;5,33;0,38598
DfrA27_EU675686_ref_dfrA;Ref;-63,92382813;-5973,389648;-2,694551546;0,991850174;-5,81;0,634;4,392;9,9111;0,7596;-2,97;0,41989;6272,493164;-16631,5957;-1,068085347;1;-6,56;0,64;4,945;9,4924;0,9439;0,81;0,93926;6336,416992;-10658,20605;1,626466199;0,008149826;-0,75;0,006;0,553;-0,4187;0,1843;3,78;0,51937
DfrA28_FM877476_ref_dfrA;Ref;-5454,827637;-2277,649414;-1,027430673;0,3875916;-2,1;0,272;2,29;1,1759;0,1545;-1,86;0,21445;6235,611816;-16363,17969;-0,952329128;1;-6,55;0,66;5,279;9,4924;0,9479;0,73;0,94212;11690,43945;-14085,53027;0,075101545;0,6124084;-4,45;0,388;2,989;8,3165;0,7934;2,59;0,72767
DfrA29_AM237806_ref_dfrA;Ref;-3028,538086;-3199,740234;-1,443378969;0,625009596;-2,81;0,454;3,352;0,8399;0,1102;-1,26;0,14274;5913,162109;-17650,00781;-1,257827516;1;-6,02;0,684;4,936;9,7444;0,9669;0,69;0,94346;8941,700195;-14450,26758;0,185551453;0,374990404;-3,21;0,23;1,584;8,9045;0,8567;1,95;0,80072
DfrA3_J03306_ref_dfrA;Ref;4623,934937;-4981,114258;-2,177593405;0,926623099;-4,25;0,579;3,845;2,437;0,2215;-0,94;0,26347;5975,67041;-17894,31836;-1,399780294;1;-6,98;0,699;4,934;9,9397;0,9816;0,67;0,98162;1351,735474;-12913,2041;0,777813111;0,073376901;-2,73;0,12;1,089;7,5027;0,7601;1,61;0,71815
DfrA30_AM997279_ref_dfrA;Ref;-2238,98584;-2615,617187;-1,179885417;0,206199765;-2,61;0,452;3,506;0,8399;0,0885;-0,9;0,14303;6128,067871;-16258,03516;-0,734551769;1;-6,76;0,641;5,172;9,5764;0,9454;0,93;0,93138;8367,053711;-13642,41797;0,445333648;0,793800235;-4,15;0,189;1,666;8,7365;0,8569;1,83;0,78835
DfrA31_AB200915_ref_dfrA;Ref;-4848,517578;-2537,391602;-1,144598438;0,054343641;-1,59;0,394;2,627;1,0079;0,1361;-0,73;0,15606;6809,996094;-17628,88867;-1,205861975;1;-6,71;0,733;5,279;9,6604;0,969;0,97;0,92611;11658,51367;-15091,49707;-0,061263536;0,945656359;-5,12;0,339;2,652;8,6525;0,8329;1,7;0,77005
DfrA33_FM957884_ref_dfrA;Ref;-6247,865234;-2925,946289;-1,25587874;0,131683767;-2,76;0,228;1,945;0,8909;0,1004;-1,17;0,13228;4909,850586;-17354,16016;-1,100508384;1;-7,04;0,681;5,028;9,8839;0,9611;0,73;0,95549;11157,71582;-14428,21387;0,155370357;0,868316233;-4,28;0,453;3,083;8,993;0,8607;1,9;0,82321
DfrA3b_AY162283_ref_dfrA;Ref;1634,004395;-2170,525391;-0,966792003;0,449135959;-1,96;0,156;1,458;0,9987;0,1095;-0,58;0,1284;8317,552734;-16210,14063;-0,688601015;0,999910116;-5,53;0,47;3,908;9,1347;0,9108;1,33;0,894;6683,54834;-14039,61523;0,278190988;0,550774157;-3,57;0,314;2,45;8,136;0,8013;1,91;0,7656
DfrA5_X12868_ref_dfrA;Ref;-6604,237793;-3958,353516;-1,785583766;0,91363278;-5,32;0,521;3,494;2,9397;0,2951;-1,72;0,31304;6068,935059;-17018,4082;-1,025623117;1;-6,72;0,658;5,02;9,5764;0,9566;0,72;0,94106;12673,17285;-13060,05469;0,759960649;0,08636722;-1,4;0,137;1,526;6,6367;0,6615;2,44;0,62802
DfrA6_Z86002_ref_dfrA;Ref;-4245,014648;-2865,287109;-1,292509658;0,032287121;-2,54;0,417;2,85;1,5118;0,1443;-1,25;0,16543;6693,25;-17401,69727;-0,968336133;1;-6,72;0,769;5,331;9,6604;0,9497;0,98;0,92528;10938,26465;-14536,41016;0,324173524;0,967712879;-4,18;0,352;2,481;8,1486;0,8054;2,23;0,75985
DfrA8_U10186_ref_dfrA;Ref;4526,418091;-2518,750977;-1,055513593;0,148661911;-2,48;0,379;3,19;1,5907;0,158;-0,93;0,17548;5894,505371;-17488,80859;-0,670665439;1;-5,76;0,588;4,677;9,3545;0,9078;1,12;0,92058;1368,08728;-14970,05762;0,384848154;0,851338089;-3,28;0,209;1,487;7,7638;0,7498;2,05;0,7451
DfrA9_X57730_ref_dfrA;Ref;-5078,567871;-2490,851563;-0,996643605;0,69669041;-1,38;0,191;1,008;2,7876;0,288;-2,19;0,2538;5018,800293;-18149,07031;-0,730535863;0,967716038;-5,15;0,437;3,433;9,9124;0,9823;0,66;0,9823;10097,36816;-15658,21875;0,266107742;0,271025628;-3,77;0,246;2,425;7,1248;0,6943;2,85;0,7285
DfrC_Z48233_ref_dfrA;Ref;3520,480225;-5783,075195;-2,54388964;0,607668579;-3,67;0,503;4,009;1,7058;0,231;-2,14;0,28977;5660,438965;-18876,11914;-2,154715701;1;-8,07;0,715;5,303;9,9124;0,9966;0,27;0,99665;2139,95874;-13093,04395;0,389173938;0,392331421;-4,4;0,212;1,294;8,2066;0,7656;2,41;0,70688
DfrD_Z50141_ref_dfrA;Ref;-2197,961426;-4012,491211;-1,711872082;0,035746992;-2,09;0,386;3,368;1,9354;0,1853;-1,71;0,2103;4955,11084;-19983,08789;-1,589739722;1;-6,17;0,728;5,851;10,1532;0,9965;0,29;0,99652;7153,072266;-15970,59668;0,12213236;0,964253008;-4,08;0,342;2,483;8,2178;0,8112;2;0,78622
DfrG_AB2056451013_ref_dfrA;Ref;-1975,294922;-5861,438477;-2,515854784;0,773501948;-4,06;0,516;3,549;2,4298;0,2081;-0,78;0,23499;5270,980957;-19678,20117;-1,87660321;1;-6,77;0,681;5,339;9,8839;0,9708;0,89;0,96807;7246,275879;-13816,7627;0,639251575;0,226498052;-2,71;0,165;1,79;7,4541;0,7627;1,67;0,73308
DfrK_FM207105_ref_dfrA;Ref;-1596,055664;-3396,560547;-1,475764502;0,137356699;-2,11;0,242;2,273;0,8989;0,0954;-0,31;0,13609;5196,532715;-19823,82227;-2,076612128;1;-7,22;0,695;5,351;9,9924;0,9841;0,87;0,96911;6792,588379;-16427,26172;-0,600847626;0,862643301;-5,11;0,453;3,078;9,0935;0,8887;1,18;0,83302
dhfr7_X58425_ref_dfrA;Ref;-4316,271484;-3352,410156;-1,512247233;0,335124552;-1,88;0,318;2,091;0,6719;0,0954;-0,8;0,14425;6792,180664;-17500,33594;-1,244943296;1;-6,23;0,67;5,488;9,6604;0,9541;0,96;0,92796;11108,45215;-14147,92578;0,267303938;0,664875448;-4,35;0,352;3,397;8,9885;0,8587;1,76;0,78371
MGTETM_KF626700_1_ref_tetM;Ref;-28390,94922;-11852,96875;-1,313686039;0,009208739;-7,62;0,09;1,976;2,6462;0,107;-0,5;0,09289;23802,08984;-67800,23438;-0,079175936;1;-10,65;0,311;4,609;12,5735;0,833;3,35;0,84134;52193,03906;-55947,26563;1,234510103;0,990791261;-3,03;0,221;2,633;9,9273;0,726;3,85;0,74845
MGTETM_KF626853_1_ref_tetM;Ref;2648,835938;-8670,539063;-0,960971581;0;-3,32;0,118;1,947;-0,1608;-0,0346;1,51;-0,03477;23650,4668;-69494,0625;-0,225547697;1;-9,85;0,29;4,541;13,3872;0,8412;3,18;0,84907;21001,63086;-60823,52344;0,735423884;1;-6,53;0,172;2,594;13,548;0,8758;1,67;0,88384
